date,exon_price,oil_price
2014-03-28,97.699997,106.64
2014-03-31,97.68,105.95
2014-04-01,97.730003,105.7
2014-04-02,97.949997,103.37
2014-04-03,97.93,104.88
2014-04-04,97.360001,106.41
2014-04-07,96.779999,104.89
2014-04-08,97.449997,105.83
2014-04-09,97.33000200000001,107.39
2014-04-10,96.779999,107.1
2014-04-11,96.720001,107.34
2014-04-14,97.860001,107.68
2014-04-15,98.68,109.1
2014-04-16,99.940002,109.71
2014-04-17,100.41999799999999,109.79
2014-04-21,100.93,109.69
2014-04-22,100.370003,108.54
2014-04-23,100.5,108.48
2014-04-24,100.010002,109.79
2014-04-25,100.410004,109.53
2014-04-28,101.16999799999999,109.12
2014-04-29,101.449997,109.89
2014-04-30,102.410004,108.63
2014-05-01,101.410004,108.63
2014-05-02,102.010002,109.48
2014-05-05,102.910004,109.48
2014-05-06,102.66999799999999,108.3
2014-05-07,103.110001,108.17
2014-05-08,102.32,108.19
2014-05-09,101.949997,108.26
2014-05-12,102.230003,108.37
2014-05-13,102.360001,108.78
2014-05-14,102.290001,109.87
2014-05-15,100.779999,109.74
2014-05-16,100.739998,110.9
2014-05-19,100.870003,110.84
2014-05-20,100.66999799999999,110.35
2014-05-21,102.029999,111.32
2014-05-22,101.5,110.89
2014-05-23,101.32,110.19
2014-05-27,101.360001,109.81
2014-05-28,101.059998,109.09
2014-05-29,101.269997,109.98
2014-05-30,100.529999,109.21
2014-06-02,99.940002,109.34
2014-06-03,100.389999,108.87
2014-06-04,100.040001,109.07
2014-06-05,100.550003,108.43
2014-06-06,101.599998,109.21
2014-06-09,101.519997,110.55
2014-06-10,101.459999,109.18
2014-06-11,101.949997,109.83
2014-06-12,101.660004,112.18
2014-06-13,102.650002,113.15
2014-06-16,102.91999799999999,113.42
2014-06-17,102.41999799999999,114.02
2014-06-18,102.730003,114.25
2014-06-19,102.629997,115.19
2014-06-20,103.83000200000001,114.55
2014-06-23,104.379997,113.62
2014-06-24,102.730003,113.74
2014-06-25,102.139999,112.84
2014-06-26,102.029999,112.61
2014-06-27,101.209999,112.62
2014-06-30,100.68,111.03
2014-07-01,101.360001,110.84
2014-07-02,101.57,110.18
2014-07-03,102.589996,108.98
2014-07-07,102.650002,108.7
2014-07-08,102.83000200000001,107.65
2014-07-09,103.550003,106.84
2014-07-10,102.57,106.2
2014-07-11,101.739998,105.77
2014-07-14,102.68,104.73
2014-07-15,102.389999,104.73
2014-07-16,103.769997,105.41
2014-07-17,102.309998,106.04
2014-07-18,102.730003,106.03
2014-07-21,103.08000200000001,105.71
2014-07-22,103.540001,106.48
2014-07-23,104.25,106.85
2014-07-24,104.279999,105.78
2014-07-25,103.18,106.89
2014-07-28,104.370003,106.7
2014-07-29,103.550003,106.98
2014-07-30,103.25,106.47
2014-07-31,98.940002,104.94
2014-08-01,98.800003,103.45
2014-08-04,100.129997,103.63
2014-08-05,98.199997,102.82
2014-08-06,98.980003,104.17
2014-08-07,98.269997,104.02
2014-08-08,99.739998,103.36
2014-08-11,98.730003,103.47
2014-08-12,98.489998,101.68
2014-08-13,99.089996,102.27
2014-08-14,99.089996,101.15
2014-08-15,99.029999,101.13
2014-08-18,99.519997,99.37
2014-08-19,99.489998,99.74
2014-08-20,99.699997,99.92
2014-08-21,99.279999,100.28
2014-08-22,98.5,100.09
2014-08-25,98.75,100.49
2014-08-26,99.639999,100.5
2014-08-27,99.529999,100.4
2014-08-28,99.57,100.71
2014-08-29,99.459999,101.12
2014-09-02,98.489998,100.21
2014-09-03,99.110001,100.88
2014-09-04,98.360001,101.21
2014-09-05,99.260002,99.51
2014-09-08,97.769997,99.53
2014-09-09,97.389999,98.08
2014-09-10,96.809998,96.26
2014-09-11,97.029999,96.42
2014-09-12,95.779999,96.31
2014-09-15,96.290001,96.43
2014-09-16,97.43,97.39
2014-09-17,97.08000200000001,97.7
2014-09-18,96.610001,96.82
2014-09-19,97.120003,96.75
2014-09-22,96.540001,95.37
2014-09-23,96.029999,94.87
2014-09-24,95.82,94.53
2014-09-25,94.25,95.2
2014-09-26,95.43,95.08
2014-09-29,94.43,95.7
2014-09-30,94.050003,94.67
2014-10-01,92.860001,94.57
2014-10-02,93.300003,91.29
2014-10-03,93.91999799999999,90.8
2014-10-06,94.519997,90.65
2014-10-07,93.370003,90.9
2014-10-08,94.610001,90.25
2014-10-09,91.82,90.47
2014-10-10,91.599998,88.66
2014-10-13,90.839996,87.82
2014-10-14,90.550003,86.36
2014-10-15,90.220001,84.02
2014-10-16,90.599998,84.02
2014-10-17,91.209999,85.27
2014-10-20,91.769997,84.42
2014-10-21,93.650002,85.17
2014-10-22,93.129997,86.38
2014-10-23,94.110001,85.94
2014-10-24,94.489998,86.0
2014-10-27,93.709999,85.64
2014-10-28,95.099998,85.57
2014-10-29,94.589996,86.91
2014-10-30,94.449997,85.5
2014-10-31,96.709999,84.17
2014-11-03,95.260002,84.9
2014-11-04,94.519997,82.12
2014-11-05,95.07,82.88
2014-11-06,96.260002,82.08
2014-11-07,96.589996,83.2
2014-11-10,96.279999,82.9
2014-11-11,96.410004,80.94
2014-11-12,95.379997,80.42
2014-11-13,94.660004,77.74
2014-11-14,95.089996,77.51
2014-11-17,95.110001,76.86
2014-11-18,94.870003,77.23
2014-11-19,95.610001,77.21
2014-11-20,95.82,77.61
2014-11-21,96.809998,79.2
2014-11-24,95.720001,79.62
2014-11-25,94.779999,77.62
2014-11-26,94.480003,77.39
2014-11-28,90.540001,71.89
2014-12-01,92.349998,70.87
2014-12-02,94.190002,71.13
2014-12-03,94.949997,70.13
2014-12-04,94.370003,68.48
2014-12-05,93.82,68.0
2014-12-08,91.699997,65.64
2014-12-09,91.379997,66.11
2014-12-10,88.66999799999999,63.32
2014-12-11,89.199997,63.65
2014-12-12,86.599998,61.67
2014-12-15,86.900002,61.09
2014-12-16,86.410004,60.26
2014-12-17,89.019997,59.84
2014-12-18,91.160004,58.81
2014-12-19,93.639999,58.87
2014-12-22,93.33000200000001,58.31
2014-12-23,94.589996,59.07
2014-12-24,93.779999,58.67
2014-12-26,93.209999,58.72
2014-12-29,93.07,57.86
2014-12-30,93.019997,55.6
2014-12-31,92.449997,55.27
2015-01-02,92.83000200000001,55.38
2015-01-05,90.290001,51.08
2015-01-06,89.809998,50.12
2015-01-07,90.720001,49.06
2015-01-08,92.230003,49.43
2015-01-09,92.099998,47.64
2015-01-12,90.33000200000001,46.9
2015-01-13,90.0,45.13
2015-01-14,89.739998,45.82
2015-01-15,88.959999,47.66
2015-01-16,91.120003,47.38
2015-01-20,91.089996,46.49
2015-01-21,91.870003,46.5
2015-01-22,92.870003,46.09
2015-01-23,90.889999,46.69
2015-01-26,91.760002,46.07
2015-01-27,90.949997,46.55
2015-01-28,87.949997,47.07
2015-01-29,87.58000200000001,46.61
2015-01-30,87.41999799999999,47.52
2015-02-02,89.58000200000001,51.74
2015-02-03,92.25,54.41
2015-02-04,91.459999,55.07
2015-02-05,92.360001,55.98
2015-02-06,91.5,55.88
2015-02-09,91.559998,57.0
2015-02-10,91.010002,55.79
2015-02-11,90.599998,53.48
2015-02-12,92.370003,56.23
2015-02-13,93.370003,60.33
2015-02-17,93.050003,60.78
2015-02-18,91.010002,60.72
2015-02-19,89.440002,58.78
2015-02-20,89.91999799999999,60.99
2015-02-23,89.010002,59.78
2015-02-24,89.41999799999999,60.33
2015-02-25,89.599998,59.77
2015-02-26,88.650002,61.39
2015-02-27,88.540001,61.89
2015-03-02,88.040001,60.75
2015-03-03,87.620003,61.18
2015-03-04,87.18,59.18
2015-03-05,86.739998,60.33
2015-03-06,85.629997,59.15
2015-03-09,85.160004,58.67
2015-03-10,84.260002,55.95
2015-03-11,84.019997,56.46
2015-03-12,84.220001,56.66
2015-03-13,83.870003,54.8
2015-03-16,84.760002,52.0
2015-03-17,84.08000200000001,52.17
2015-03-18,86.07,52.59
2015-03-19,84.410004,52.96
2015-03-20,84.540001,53.88
2015-03-23,85.43,53.82
2015-03-24,84.519997,53.61
2015-03-25,84.860001,54.18
2015-03-26,84.32,57.02
2015-03-27,83.58000200000001,56.44
2015-03-30,85.629997,53.99
2015-03-31,85.0,53.69
2015-04-01,84.459999,55.73
2015-04-02,84.300003,55.73
2015-04-06,85.129997,55.73
2015-04-07,85.75,57.55
2015-04-08,84.059998,56.42
2015-04-09,84.650002,56.04
2015-04-10,85.559998,56.82
2015-04-13,85.339996,57.14
2015-04-14,86.629997,57.69
2015-04-15,88.08000200000001,59.32
2015-04-16,87.730003,60.13
2015-04-17,86.93,61.31
2015-04-20,87.239998,61.2
2015-04-21,86.879997,60.12
2015-04-22,87.459999,60.12
2015-04-23,87.540001,62.66
2015-04-24,86.970001,62.96
2015-04-27,87.010002,62.86
2015-04-28,87.800003,62.61
2015-04-29,87.870003,63.97
